year;month;day;data
2009;11;12;[['finlandia', 'ehdokas', 'julkistaa'], ['opiskella', 'opiskelija', 'hin1', 'rokotus'], ['vanhanen', 'nyt', 'palkkaneuvottelu'], ['teliasonera', 'sopia', 'turkcell', 'kiista'], ['tuomo', 'ruutu', 'tehoilta', 'ei', 'riittänyt']]
2009;11;13;[['ker', 'kerjäläinen', 'suomi', 'tuonut', 'kiinni'], ['grönlanti', 'sulaa', 'kiihtyä'], ['biovoima', 'hintamalli', 'uusi'], ['ruoka', 'halveta', 'veroale', 'enempi'], ['leino', 'päästä', 'voitto', 'tie']]
2009;11;14;[['lentäjä', 'lakko', 'alku', 'ratketa', 'tänään'], ['netti', 'monenkirjava', 'hin1', 'ohje'], ['yksi', 'kuolla', 'espoo', 'ampua'], ['britannia', 'kohu', 'kidutus'], ['alankomaa', 'autoilla', 'matkamaksu'], ['poutiainen', 'hyvä', 'asema', 'levä']]
2009;11;15;[['finnair', 'perua', 'lento', 'jo', 'tänään'], ['finncom', 'avata', 'lisä', 'lentoreitti'], ['kosovolainen', 'vaaliuurna'], ['sitova', 'ilmastosopu', 'epärealistinen'], ['levä', 'mies', 'pujottelu', 'käynti'], ['detroit', 'zetterberg', 'upottaa', 'ducksin']]
2009;11;16;[['lakkotavata', 'ei', 'tulos'], ['jet]', 'a', 'einnairin', 'matkustaja'], ['toperuutukset', 'ei', 'päivittyä', '26'], ['suomi', 'alkoholinkäyttö', 'kärki'], ['hifk', 'jatkaa', 'kari', 'jalonen', 'sopimus']]
2009;11;17;[['lentolakko', 'puida', 'jälleen'], ['uusi', 'sydänkuolema', 'altistaja', 'löytyä'], ['eläkemeno', 'eläkemeno', 'osuus', 'kasvaa', 'nopea'], ['obama', 'ja', 'hu', 'pohtia', 'talousnäkymä'], ['selänne', 'maalasi', 'anaheim', 'hävitä']]
2009;11;18;[['finnair', 'kohti', 'normaalirytmi'], ['kko', 'sonera', 'kirja', 'taata', 'hovi'], ['katainen', 'ei', 'enarä', 'veronkevennys'], ['parisuhde', 'taata', 'usea', 'onni'], ['räikkönen', 'pitää', 'välivuosi', 'f1stä']]
2009;11;19;[['pikavippiyritys', 'laki', 'kuri'], ['kuntaliitos', 'tukiraha', 'loppumassa'], ['eu', 'huippuvirka', 'esillä', 'bryssel'], ['afrikka', 'väkiluku', 'ylittää', 'miljardi'], ['manageri', 'kimi', 'kuunnella', 'tarjous']]
2009;11;20;[['eu', 'harmaajohtokaksikko'], ['lapsi', 'palvelu', 'hajalla'], ['närästys', 'vaiva', 'yhä', 'usea'], ['finnair', 'liikenne', 'pala', 'ennallaan'], ['fifa', 'ei', 'hyväksyä', 'irlanti', 'vaatimus']]
2009;11;21;[['mäenpää', 'hakea', 'yhde', 'palkkaraami'], ['korjattu', 'hiukkaskiihdytin', 'käynti'], ['mikko', 'koivu', 'kausi', 'kuudes', 'maali']]
2009;11;22;[['kaasuputkireitti', 'ammusraivaus', 'alkaa'], ['veteräänijärjestöt', 'olla', 'vara'], ['matkustaa', 'matkustaja', 'alus', 'upota', 'indonesia'], ['usa', 'terveydenhuoltouudistus', 'edetä'], ['hagman', 'ratkaista', 'voiton', 'toronto'], ['lepistö', 'luistella', 'pronssi', 'kanada']]
2009;11;23;[['5i1', 'ja', 'euro', 'turku', 'iltapäivä'], ['yhtiö', 'ei', 'vaara', 'joutua', 'kari'], ['pikkujoulu', 'venähtää', 'pitkä'], ['satama', 'paha', 'ahti', 'taittua'], ['romania', 'vaali', 'kakkoskierros']]
2009;11;24;[['työtön', 'olla', 'jo', '215', '000'], ['sata', 'komitea', 'ehdottaa', 'menolisäys'], ['sähköromu', 'kierrätys', 'olla', 'unohdettu'], ['miinanraivaus', 'siirtyä', 'jälleen'], ['selänne', 'ratkaista', 'voiton', 'anaheimille']]
2009;11;25;[['helsinki', 'designpääkaupunki', '2012'], ['suuri', 'huumetakavarikko', 'mäntsälä'], ['miinanraivaus', 'yrittää', 'taas'], ['kiina', 'vaatia', 'ilmastosopimus'], ['liverpool', 'jatkohaave', 'murska']]
2009;11;26;[['kaikki', 'suomalainen', 'hin1', 'rokote'], ['vanhanen', 'dataverkko', 'turvata'], ['dosa', 'aikaeläke', 'olla', 'tunkua'], ['matkailu', 'heikko', 'näkymä'], ['ahonen', 'haluta', 'onnistua', 'paluu']]
2009;11;27;[['hini', 'lieventää', 'kausi', 'influenssaa?'], ['säästää', 'huolettaa', 'ek'], ['teollisuus', 'alakulo', 'jatkua'], ['kuuba', 'mittava', 'sotaharjoitus'], ['suomi', 'mm', 'ralli', 'suuri', 'muutos'], ['mari', 'björgen', 'ei', 'kilpailla', 'rukka']]
2009;11;28;[['moskovan=', 'juna', 'myöhästyä', '13', 'tunti'], ['vanhanen', 'nostaa', 'rikas', 'vera'], ['joulukauppa', 'vilkastua', 'usa'], ['236', 'suomalainen', 'huikea', 'yö', 'nhl'], ['rukka', 'tiivis', 'mc', 'päivä', 'tv2', '11', '50'], ['woodsin', 'vamma', 'pelätty', 'lievä']]
2009;11;29;[['vuokratyö', 'houkuttaa', 'lääkäri'], ['kolme', 'kuolla', 'kolari', 'kuhmalahti'], ['moskova', 'juna', 'myöhästyä', '12', 'tunti'], ['aamujuna', 'venäjä', 'jo', 'aikataulu'], ['saarinen', 'sivakoida', 'kymppi', 'voitto'], ['koivuranta', 'eit', 'kilpäile', 'sunnuntai']]
2009;11;30;[['sunila', 'sellutehdas', 'jatkoaika'], ['talvisota', 'alkaa', '70', 'vuo'], ['lakko', 'uhka', 'pankki'], ['kreikkalaistankkeri', 'kaapata'], ['hyypiä', 'tähytä', 'kohti', 'uusi', 'voitto']]
2009;12;01;[['toimihenkilö', 'lakko', 'alkaa'], ['hiv', 'uhka', 'nyt', 'suomi', 'nuora'], ['finnair', 'perua', 'usea', 'päivä', 'lento'], ['teosto', 'palkinto', 'jakaa', 'kahtia'], ['asiainhoitaja', 'kiistää', 'kimi', 'pesti']]
2009;12;02;[['ruoka', 'hinta', 'laskea', 'luvattu'], ['kiista', 'helsinki', 'vantaa', 'jatkua'], ['vientiromahdus', 'pohja', 'näkyvä'], ['suomi', 'lisätuki', 'afganistaniin?'], ['summanen', 'saada', 'potku', 'rapperswilistä']]
2009;12;03;[['kauha', 'kauhajoki', 'poli', 'kiistää', 'syyte'], ['oikeusasiamies', 'arvostella', 'selli'], ['ilmailuala', 'sovittelu', 'jatkaa'], ['tuhoisa', 'bussiräjähdys', 'syyria'], ['österberg', 'kalmari', 'usa', 'kenttä']]
2009;12;04;[['liikanen', 'talous', 'ei', 'vielä', 'nousu'], ['lento', 'perua', 'yhä', 'sopu', 'lähellä'], ['naispappe', 'naispappi', 'ahdistella', 'työ'], ['räikkönen', 'rallisopimus', 'varmistua'], ['teemu', 'selänne', 'käsi', 'murtua']]
2009;12;05;[['arkkiatri', 'ei', 'kannattaa', 'ulkoistaa'], ['obama', 'kööpenhamina', 'h', 'hetki'], ['urheilulavantai', 'tv2ssa', 'klo', '12', '45'], ['em', 'curling', 'suomi', 'mitta', 'tshekki']]
